微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
HqOeZdHWQ,男子意外失去左臂后身残志坚靠右手判断洛伦兹力——旺星人擦么么哒  ,,无,无,无,2019-04-22 15:18,微博 weibo.com,151,30,14
HqNshjzEu,“喂110吗？晚上吃了吗？”——建议封楼主永久  ,,无,无,无,2019-04-22 13:18,微博 weibo.com,54,1,7
HqMhdpubz,"""你能不能不要走!""体育老师对着参加1000米考试的我说到——shineFFF团团长  ",,无,无,无,2019-04-22 10:18,微博 weibo.com,281,86,22
HqL69x9mv,“带哥好”海藻对海带说 ——q个__个p  ,,无,无,无,2019-04-22 07:18,微博 weibo.com,121,16,16
HqHKK1OKJ,“警察局吗 我被老师监视了 害的我不能认真考试 ”——无语对苍天丶x  ,,无,无,无,2019-04-21 22:47,微博 weibo.com,81,2,9
HqGY25tBC,来日方长的长念chang不是zhang！老和尚捂着屁股说。——燃烧de嘲笑鸟  ,,无,无,无,2019-04-21 20:47,微博 weibo.com,117,13,14
HqFoCfAeE,小明终于学成归来用巫术杀死了说他整天不学无术的老师——凉伴suan什么  ,,无,无,无,2019-04-21 16:47,微博 weibo.com,91,4,13
HqF0gfhBr,被围困七天断水断粮的守军机智的点了个美团外卖——权志龙偷井盖5  ,,无,无,无,2019-04-21 15:47,微博 weibo.com,73,3,10
HqEdylo9a,太幸运了去孤儿院随便领养了个孩子就是老婆亲生的 ——L无声嘶吼S  ,,无,无,无,2019-04-21 13:47,微博 weibo.com,117,3,9
HqDPcplIt,吃下三棱镜后，王老汉终于放出彩虹屁——@或许是只桔猫  ,,无,无,无,2019-04-21 12:47,微博 weibo.com,133,6,14
HqCE8uISh,道长制服僵尸的手法令众人叹为观止：“这就是制服的诱惑吗？”——@或许是只桔猫  ,,无,无,无,2019-04-21 09:47,微博 weibo.com,92,2,5
HqxxwB2LS,你最好要明白我不是打不过你只是我跪着不好发力 ——高调恒子  ,,无,无,无,2019-04-20 20:47,微博 weibo.com,72,2,6
Hqx9bhWN2,这人头脑真灵活！法医将尸体的脑袋扭转了360度 ——老罗叔  ,,无,无,无,2019-04-20 19:47,微博 weibo.com,82,11,9
Hqwek3iml,"【弱吧经典】1、无良穿墙术教练将墙修在悬崖边2、小明在野外遭遇凶猛野人,现已加入肯德基豪华午餐——由于原贴被百度吞掉，故作者不详（发布于约2013年）  ",,无,无,无,2019-04-20 17:26,微博 weibo.com,70,5,12
HqvY7mkVj,为广集人才企业去墓地四处挖人——strauss44  ,,无,无,无,2019-04-20 16:47,微博 weibo.com,57,7,9
HqtBZBZCg,火化工人在生物圈中承担分解者的角色——@辛夷花开了  ,,无,无,无,2019-04-20 10:47,微博 weibo.com,115,19,6
HqsPhl0Y3,向日葵对着太阳炫耀道：你看，我的瓜子脸好看吗 ——老罗叔  ,,无,无,无,2019-04-20 08:47,微博 weibo.com,106,4,16
HqoTKj98J,二傻子拉出界外屎，主教练被开除出厕所 ——全球自由网络  ,,无,无,无,2019-04-19 22:47,微博 weibo.com,39,0,2
Hqo72nCSc,这对姐妹喜欢暗中搞鬼，想必各怀鬼胎。——@雨声敲敲  ,,无,无,无,2019-04-19 20:47,微博 weibo.com,93,5,6
HqnIGqyKb,我现在已经是麻木了。嫁接花椒树说——不溺水艇  ,,无,无,无,2019-04-19 19:47,微博 weibo.com,84,5,2
HqmVYvlXi,谁能想到这种天生鬼才，竟然会中这种鬼才会信的骗局 ——月夜魔术师  ,,无,无,无,2019-04-19 17:47,微博 weibo.com,107,18,10
HqlKUA1Z7,无聊的刽子手掏出多年的收藏玩起了头脑风暴。——@或许是只桔猫  ,,无,无,无,2019-04-19 14:47,微博 weibo.com,61,5,8
HqkzR0Zrm,喜欢恶作剧的医生给病人做手术时给他冠动脉绑了个死结——xg3sw5  ,,无,无,无,2019-04-19 11:47,微博 weibo.com,58,2,12
Hqj0r8ePm,“先下手为强！”，机智的王警官立马锁定杀人凶手为卫生间的蟑螂 ——你要搞怎样  ,,无,无,无,2019-04-19 07:47,微博 weibo.com,65,1,9
Hqfywz7sU,这里会不会痛   那这里呢  医生戴着拳击手套问道 ——@迪利嘟噜  ,,无,无,无,2019-04-18 23:00,微博 weibo.com,87,8,16
HqfaaCiD1,诸葛亮七擒孟获发现其是稀有神奇宝贝 一般精灵球抓不住——无语对苍天丶x  ,,无,无,无,2019-04-18 22:00,微博 weibo.com,73,8,8
HqentiZxx,法官大喊辩护律师你不喝完这杯别想跟老子谈。 ——公孙闬  ,,无,无,无,2019-04-18 20:00,微博 weibo.com,46,2,10
HqdAL4bpv,烂醉的教授通过人工呼吸不仅救了我的命还喂饱了我 ——高调恒子  ,,无,无,无,2019-04-18 18:00,微博 weibo.com,76,13,38
HqcO37al8,和九命猫拜把子就也有了九条命。——jsheyehiwj  ,,无,无,无,2019-04-18 16:00,微博 weibo.com,59,3,14
Hqc1ldYb8,本期变形计交换生活的是脾气暴躁的富二代和温顺的母猪。——001423554705  ,,无,无,无,2019-04-18 14:00,微博 weibo.com,54,2,12
HqbCZdURA,牙医风趣幽默，专门笑掉病人大牙。 ——老罗叔  ,,无,无,无,2019-04-18 13:00,微博 weibo.com,52,4,5
HqbeDhFsO,你说我穿着这件爆款去做人肉炸弹好不好？ ——老罗叔  ,,无,无,无,2019-04-18 12:00,微博 weibo.com,45,1,6
HqarVmorJ,你们这有没有那种显胖的避孕套？王老汉在杜蕾斯官博下留言 ——回我信息呗  ,,无,无,无,2019-04-18 10:00,微博 weibo.com,43,1,15
Hq9FdozS0,杠精与六学家打麻将称杠上开花 ——wili羽兔  ,,无,无,无,2019-04-18 08:00,微博 weibo.com,120,8,7
Hq6821WSu,队长！! ! !是个大胖小子！！！！！！！！小陈看着发现的男尸兴奋喊道 ——@迪利嘟噜  ,,无,无,无,2019-04-17 23:00,微博 weibo.com,75,12,11
Hq5JGmzkq,为了不向命运低头，王老汉做了颈部切除手术。 ——人生需静悟  ,,无,无,无,2019-04-17 22:00,微博 weibo.com,45,4,15
Hq4WYoVCM,在银行业务员苦口婆心地劝说下，劫匪最终还是办了张信用卡 ——老罗叔  ,,无,无,无,2019-04-17 20:00,微博 weibo.com,85,7,9
Hq4agbfLv,我院全自动马桶上完厕所不用冲两百年后会自动降解。——001423554705  ,,无,无,无,2019-04-17 18:00,微博 weibo.com,66,1,8
Hq3nygzk8,院长在澡堂穿着暴露被裸体群众指认为变态。 ——老罗叔  ,,无,无,无,2019-04-17 16:00,微博 weibo.com,44,2,8
Hq2Zcj0tS,人拉的大便到底算是人造的还是天然的？ ——jfsbtbd  ,,无,无,无,2019-04-17 15:00,微博 weibo.com,61,6,20
Hq2cunIuf,劫匪残忍撕票只留给警方一张票根——旺星人擦么么哒  ,,无,无,无,2019-04-17 13:00,微博 weibo.com,64,4,4
Hq1O8FUvY,卖镜子不打码吓死人要赔钱的——主治医师林待育  ,,无,无,无,2019-04-17 12:00,微博 weibo.com,42,0,4
Hq11qw4mJ,干一行爱一行的消防员小张称每天都开心消消乐——不溺水艇  ,,无,无,无,2019-04-17 10:00,微博 weibo.com,51,3,3
Hq0eJ8qbN,为防止敌军屠城，守军提前杀光了全城人 ——权志龙偷井盖5  ,,无,无,无,2019-04-17 08:00,微博 weibo.com,63,7,19
HpX4gmk3p,谢邀，人在厕所，排队的人多不能久蹲，匿了 ——主治医师林待育  ,,无,无,无,2019-04-16 23:56,微博 weibo.com,77,5,10
HpWFUrkH1,案件持续发酵，最后变的松软可口——strauss44  ,,无,无,无,2019-04-16 22:56,微博 weibo.com,233,37,15
HpWhyq72F,家属往主刀医生怀里塞了个红包:麻烦您把我父亲切作臊子——旺星人擦么么哒  ,,无,无,无,2019-04-16 21:56,微博 weibo.com,76,9,13
HpVuQteL8,新来的员工说把工作当成乐趣，我踏马花这么多钱是请你来玩的？——剪侧  ,,无,无,无,2019-04-16 19:56,微博 weibo.com,130,12,7
HpUI8zJsi,超人：我这人没什么特殊的才艺，就给大家表演个胸口碎陨石吧！ ——老罗叔  ,,无,无,无,2019-04-16 17:56,微博 weibo.com,49,0,12
HpTUCplPN,这毒药假的吧，怎么一吃就死了——公孙干门  ,,无,无,无,2019-04-16 15:54,微博 weibo.com,52,0,10
HpSZnwlq2,医生   我这遗传病   可是从我太爷爷的爷爷那儿传下来的 您可轻点啊 ——@迪利嘟噜  ,,无,无,无,2019-04-16 13:33,微博 weibo.com,34,1,13
HpSJywKte,请教一下，鸡精和鸡蛋一起吃，肚子里会不会有受精卵啊？ ——1994spring  ,,无,无,无,2019-04-16 12:54,微博 weibo.com,70,5,26
HpRWQAFjq,“别这样大家都看着呢”犯人忸怩着推开刽子手的刀——旺星人擦么么哒  ,,无,无,无,2019-04-16 10:54,微博 weibo.com,70,4,12
HpRa8FGjg,你们给我判无期，那我就直接出狱啦！ ——老罗叔  ,,无,无,无,2019-04-16 08:54,微博 weibo.com,54,3,7
HpNuqCabh,医生   我这遗传病   可是从我太爷爷的爷爷那儿传下来的 您可轻点啊 ——@迪利嘟噜  ,,无,无,无,2019-04-15 23:33,微博 weibo.com,51,2,9
HpMY57Ktp,【弱吧神回复】第3集……  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/006gMemDly1g23oc29qjjj30u01hhai8.jpg,http://ww4.sinaimg.cn/large/006gMemDly1g23oc70g7sj30u01dbgt2.jpg,http://ww3.sinaimg.cn/large/006gMemDly1g23oc79q40j30u01qy7d5.jpg,http://ww4.sinaimg.cn/large/006gMemDly1g23oc3gyxbj30u01cfwlr.jpg,http://ww2.sinaimg.cn/large/006gMemDly1g23oc4926fj30u01w6n8l.jpg,http://ww2.sinaimg.cn/large/006gMemDly1g23oc80sgnj30u01zm141.jpg,http://ww3.sinaimg.cn/large/006gMemDly1g23oc6d27uj30u021etl4.jpg,http://ww1.sinaimg.cn/large/006gMemDly1g23oc5350wj30u01xialn.jpg,http://ww1.sinaimg.cn/large/006gMemDly1g23oc66866j30u01cyn5u.jpg",无,无,2019-04-15 22:13,微博 weibo.com,155,112,22
HpMHJ3iBQ,部分通灵者利用烧纸传答案作弊引起阴间教育部注意 ——Everest之巅  ,,无,无,无,2019-04-15 21:33,微博 weibo.com,68,1,10
HpLV15c7u,冒牌书法大师鬼画符，居然抽出阴阳师SSR，赢得众人拍手叫好！ ——老罗叔  ,,无,无,无,2019-04-15 19:33,微博 weibo.com,68,3,10
HpLwFbgDo,在嫌疑人居住地附近苦苦蹲守的民警，终于腿麻了 ——老罗叔  ,,无,无,无,2019-04-15 18:33,微博 weibo.com,65,1,7
HpL8jaWGb,食人族族长回忆往昔“想当年闹饥荒，我们为了节约粮食，那真是搜肠刮肚，绞尽脑汁”——xp0yn8  ,,无,无,无,2019-04-15 17:33,微博 weibo.com,121,6,11
HpKlBdTOs,陈医生潜心研究痔疮手术天天在看《菊与刀》 ——@雨声敲敲  ,,无,无,无,2019-04-15 15:33,微博 weibo.com,128,23,13
HpJXfgISB,电击小子在变身时把自己活活电死 ——搞手阿飞  ,,无,无,无,2019-04-15 14:33,微博 weibo.com,36,1,8
HpJaxl5WU,鸡真的是太伟大了。母鸡给人类提供鸡蛋，公鸡给人类提供鸡精 ——健康宝宝吧  ,,无,无,无,2019-04-15 12:33,微博 weibo.com,86,23,26
HpIUtyOvQ,…  原图 ,,http://wx1.sinaimg.cn/large/006gMemDly1g236ggpaj0j30u00fy0tn.jpg,无,无,2019-04-15 11:53,Android,205,24,20
HpInPpP5r,在黑心水果摊买了个菠萝切开后看见一堆家具和一块海绵——旺星人擦么么哒  ,,无,无,无,2019-04-15 10:33,微博 weibo.com,139,24,14
HpHB7sJbC,精心打扮一番后，蚊子拿起电蚊拍玩起了自拍 ——@或许是只桔猫  ,,无,无,无,2019-04-15 08:33,微博 weibo.com,87,4,3
HpE3W8hgA,《玉皇大帝的产后护理》——建议封楼主永久  ,,无,无,无,2019-04-14 23:33,微博 weibo.com,22,2,20
HpDhedEWM,汽车爆胎修车师傅给我开了三个疗程的打胎药——旺星人擦么么哒  ,,无,无,无,2019-04-14 21:33,微博 weibo.com,45,1,5
HpC6aj7tU,铁公鸡李老汉每天早上都要打鸣 ——@领先处男半目  ,,无,无,无,2019-04-14 18:33,微博 weibo.com,47,1,9
HpBHOk2Q0,高端的食材往往只需要最简单的烹饪方式，忙碌了5个小时的陈师傅，打开了美团外卖——Single5789  ,,无,无,无,2019-04-14 17:33,微博 weibo.com,113,9,8
HpAV6p8ur,在医生严刑逼供下病人终于交待了自己得了什么病。——001423554705  ,,无,无,无,2019-04-14 15:33,微博 weibo.com,87,7,10
HpAwKoDeH,王子看着睡美人一时半会儿醒不了    趁机拿走了贵重物品 ——@迪利嘟噜  ,,无,无,无,2019-04-14 14:33,微博 weibo.com,82,1,8
HpA8nwq7Q,游戏大神完成五杀兴奋得跳起来后因跳大神不慎请出狐仙——旺星人擦么么哒  ,,无,无,无,2019-04-14 13:33,微博 weibo.com,49,3,4
HpzlGyjmo,食品监督局凌晨突击夜市将售卖隔夜饭的不良商家一网打尽 ——Everest之巅  ,,无,无,无,2019-04-14 11:33,微博 weibo.com,76,3,8
HpyyYAKAv,普通的猫有9条命而精通计算机的猫有1001条命 ——@或许是只桔猫  ,,无,无,无,2019-04-14 09:33,微博 weibo.com,156,36,26
HpxMglk5k,今天早上小明在厕所拉出了今日头条 ——JimmyDong  ,,无,无,无,2019-04-14 07:33,微博 weibo.com,69,4,10
HpuDrg2lm,商家为了刺激消费者，灭了顾客全家——建议封楼主永久  ,,无,无,无,2019-04-13 23:33,微博 weibo.com,120,17,12
Hpuf5hCsr,支付不起丧葬费的王老汉无奈选择复活——@或许是只桔猫  ,,无,无,无,2019-04-13 22:33,微博 weibo.com,110,11,15
HptQJ0jid,泥菩萨过江各显神通 ——全球自由网络  ,,无,无,无,2019-04-13 21:33,微博 weibo.com,41,7,19
Hpt41qV4g,站如松坐如钟的王老汉被孙悟空起诉“只有我能七十二变”——xp0yn8  ,,无,无,无,2019-04-13 19:33,微博 weibo.com,46,7,8
HpsFFooxS,吕洞宾被狗咬了一口，变成了品洞宾 ——1994spring  ,,无,无,无,2019-04-13 18:33,微博 weibo.com,61,4,19
Hpshjs5W7,老师叫我们考试写作文要搜肠刮肚最后大家都交了答题卡就我交了一堆内脏——旺星人擦么么哒  ,,无,无,无,2019-04-13 17:33,微博 weibo.com,101,4,7
HprSXuhyD,情场失意的外科医生老王在心脏搭桥手术中竟屡次打开老太太们心房 ——你要搞怎样  ,,无,无,无,2019-04-13 16:33,微博 weibo.com,104,11,10
HpruBvt04,敌国向我国投掷的炸弹没交关税被全部退回。——001423554705  ,,无,无,无,2019-04-13 15:33,微博 weibo.com,79,1,8
Hpr6fyXhu,都说月子里不能碰水了   中医师看着溺亡的女尸说道 ——@迪利嘟噜  ,,无,无,无,2019-04-13 14:33,微博 weibo.com,53,2,15
HpqHSFhxV,奥特曼一个个长得那么高，为什么不去打篮球？——建议封楼主永久  ,,无,无,无,2019-04-13 13:33,微博 weibo.com,92,8,16
HpkGS1qNF,现在海关态度太差两斤炸药都不让带。、——001423554705  ,,无,无,无,2019-04-12 22:14,微博 weibo.com,56,3,7
Hpkmw0ifT,刚刚我们两年没更新的gz号诈尸更新了一条信息，可能快要更新了，有人问过为什么微博里不发长篇，其实长篇的风格更适合gz号，大家可以看看。  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/006gMemDly1g205xirdunj30u00dg3z5.jpg,http://ww2.sinaimg.cn/large/006gMemDly1g205xk6fkvj30u00db75b.jpg",无,无,2019-04-12 21:23,Android,31,3,4
HpjUaqzJD,经过一上午苦口婆心的劝导，经验丰富的李老师总算说服班里早恋的同学，传授给单身的自己一些恋爱技巧 ——Ariestring  ,,无,无,无,2019-04-12 20:14,微博 weibo.com,114,20,10
Hpj7sutfZ,在工厂流水线生产的桃木剑和黄符有没有功效？——001423554705  ,,无,无,无,2019-04-12 18:14,微博 weibo.com,40,25,20
HpiJ6tk2F,我想问一下大家死刑判几年啊？——程方辰  ,,无,无,无,2019-04-12 17:14,微博 weibo.com,92,27,23
HphWozhL4,说实话，从小到大，我就没把什么东西放到眼里，除了隐形眼镜 ——权志龙偷井盖5  ,,无,无,无,2019-04-12 15:14,微博 weibo.com,81,6,11
Hphy2zAag,食人族族长感冒了，于是吃了一个欧洲人和一个非洲人 ——权志龙偷井盖5  ,,无,无,无,2019-04-12 14:14,微博 weibo.com,77,13,22
Hph5Cy7Lx,真是人老心不老啊   食人族长老吧唧着嘴说 ——@迪利嘟噜  ,,无,无,无,2019-04-12 13:04,微博 weibo.com,118,7,7
HpgLkm4ZM,击鼓鸣冤的王老汉情不自禁得玩起了太鼓达人 ——我不搅基  ,,无,无,无,2019-04-12 12:14,微博 weibo.com,110,3,8
HpfYD4Otr,要几条电鳗才够我家日常用电？——奥立奥需要牛奶  ,,无,无,无,2019-04-12 10:14,微博 weibo.com,39,1,24
HpfbV6U32,为治疗便秘，李老汉找来几个易拉罐——@领先处男半目  ,,无,无,无,2019-04-12 08:14,微博 weibo.com,79,6,15
HpbEJr1Lt,鸿门宴上范增欲摔杯为号，不料定睛一看竟然是星巴克猫爪杯，故刘邦逃出生天——Sum_seven  ,,无,无,无,2019-04-11 23:14,微博 weibo.com,87,3,3
HpaS1wjOJ,“你算什么东西？”王老板向会计小王问道。——奥立奥需要牛奶  ,,无,无,无,2019-04-11 21:14,微博 weibo.com,67,5,10
Hpa5jAy1q,“如果你不爱我，那就放了我”，一个囚犯对保安说道——龚勋是勇者  ,,无,无,无,2019-04-11 19:14,微博 weibo.com,86,2,13
Hp9iBEJPK,得知突然降温，贴心的小彤为男友买下大量热搜——不溺水艇  ,,无,无,无,2019-04-11 17:14,微博 weibo.com,56,2,18
Hp8vU1lDE,穷凶极恶的匪徒抢劫银行，声称自己有炸弹，却招来工作人员的一句要不起!——他来了快趴下  ,,无,无,无,2019-04-11 15:14,微博 weibo.com,63,9,8
Hp87y3S0u,尸体一件寿衣穿两百年被评节约标兵。——001423554705  ,,无,无,无,2019-04-11 14:14,微博 weibo.com,70,0,10
Hp7F8lx0O,快让我看看他的舌苔   老中医看着溺水的孩子说道 ——@迪利嘟噜  ,,无,无,无,2019-04-11 13:04,微博 weibo.com,47,2,9
Hp6WuafOl,秦朝时候秦始皇怎么去美国访问——扫马路的孩子  ,,无,无,无,2019-04-11 11:14,微博 weibo.com,44,6,27
Hp6u47yMQ,我和院长打赌，赌没有人敢和我打赌 ——权志龙偷井盖5  ,,无,无,无,2019-04-11 10:04,微博 weibo.com,46,2,14
Hp5HmcaTl,怎么才能把马云从阿里巴巴挖走？——@再也不是橘猫  ,,无,无,无,2019-04-11 08:04,微博 weibo.com,56,3,20
Hp2re7YfM,二郎神在玉皇大帝面前翘二郎腿终于被扁——无语对苍天丶x  ,,无,无,无,2019-04-10 23:46,微博 weibo.com,41,1,8
Hp1EwcmeX,狂躁的老李拿出手机查看附近的人后大喊：不妙！咱们被包围了！ ——yhyaaaaaa  ,,无,无,无,2019-04-10 21:46,微博 weibo.com,54,5,5
Hp0ROgePK,我开启了手机超强清理模式结果手机消失了 ——穿越→菊花  ,,无,无,无,2019-04-10 19:46,微博 weibo.com,57,0,13
Hp0tsiEIY,刘保安六岁可以轻松发动庐山升龙霸现在每天别个电棍武功全废了 ——yhyaaaaaa  ,,无,无,无,2019-04-10 18:46,微博 weibo.com,55,9,18
Hp056kKu5,卧底把唯一知道他身份的老大杀了后再也没人知道他是卧底了——无语对苍天丶x  ,,无,无,无,2019-04-10 17:46,微博 weibo.com,62,1,10
HoZior4hK,我这条命，可以说是我妈给的——我真不是康琰  ,,无,无,无,2019-04-10 15:46,微博 weibo.com,143,17,21
HoYvGrIA5,太阳的热量那么高  也只有天狗敢吃吧 ——@迪利嘟噜  ,,无,无,无,2019-04-10 13:46,微博 weibo.com,52,4,9
HoXIYwOXV,如果我被雷劈成两半 哪一半会先死呢？——奥立奥需要牛奶  ,,无,无,无,2019-04-10 11:46,微博 weibo.com,48,8,23
HoWWgCt9A,清明节小明连扫十几个墓 被评为十大孝子——会通灵的仙  ,,无,无,无,2019-04-10 09:46,微博 weibo.com,64,1,9
HoW9yELS9,退休赶尸大佬转业去卖水产，发财的秘密竟是让死鱼死虾活蹦乱跳——半岛丶小艾  ,,无,无,无,2019-04-10 07:46,微博 weibo.com,110,3,10
HoT0JeYMV,在大家的鼓励下肥胖宅男终于变成肥胖宅女——会通灵的仙  ,,无,无,无,2019-04-09 23:46,微博 weibo.com,63,6,10
HoSe1lZA1,不好意思我赶时间，说完我以光速飞过！ ——老罗叔  ,,无,无,无,2019-04-09 21:46,微博 weibo.com,47,1,9
HoRrjoIcS,我有预感，我要红了。一条被抽出的卫生巾对包里的其他卫生巾说道——Sum_seven  ,,无,无,无,2019-04-09 19:46,微博 weibo.com,89,11,12
HoR2XqvJd,看到试卷上的病句题我毫不犹豫的把卷子送到了医院——strauss44  ,,无,无,无,2019-04-09 18:46,微博 weibo.com,94,3,9
HoQgg6d8d,闲暇之余，黑白无常玩起了黑白配 ——老罗叔  ,,无,无,无,2019-04-09 16:46,微博 weibo.com,42,2,11
HoPtxxLaa,经过与同事长达两天的案情分析，王警官终于想起了自己是警察——奥立奥需要牛奶  ,,无,无,无,2019-04-09 14:46,微博 weibo.com,101,1,6
HoP5b0JZC,事故现场  经验老道的中医   为伤者悬丝诊脉 ——@迪利嘟噜  ,,无,无,无,2019-04-09 13:46,微博 weibo.com,30,0,9
HoOitmjPm,发现一个现象 考试的时候 老师总是给学生们交白卷——会通灵的仙  ,,无,无,无,2019-04-09 11:46,微博 weibo.com,73,4,4
HoNvM4wbL,树林里埋伏了数百名刀斧手，只等您一声令下立马上山砍柴。 ——老罗叔  ,,无,无,无,2019-04-09 09:46,微博 weibo.com,110,0,11
HoMJ48NRA,赵云怀抱阿斗在长坂坡奋勇杀敌七进七出，终于刷够了微信步数——Sum_seven  ,,无,无,无,2019-04-09 07:46,微博 weibo.com,121,5,18
HoKnKwtke,话说老罗叔@第七迷雾 最近真是高产，已经默默超过我（仅限大号）了……  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/006gMemDly1g1vr8gytocj30u0061wek.jpg,http://ww3.sinaimg.cn/large/006gMemDly1g1vr8hdepkj30u005y3yl.jpg",无,无,2019-04-09 01:48,Android,30,4,14
HoJD4wGBE,小明被吓得不轻，成功增肥。——没说的Dream  ,,无,无,无,2019-04-08 23:53,微博 weibo.com,82,2,7
HoIQmCnjI,没错！当年女儿国卖的最畅销的产品就是指南针 ——高调恒子  ,,无,无,无,2019-04-08 21:53,微博 weibo.com,63,2,20
HoI3F0ZYc,惊 西斯能够放电是因为他事先在袖子里藏了两只皮卡丘？！——主刀弱智黄医师  ,,无,无,无,2019-04-08 19:53,微博 weibo.com,38,10,8
HoHgX0OtF,讨厌！你压我腿毛了 ——高调恒子  ,,无,无,无,2019-04-08 17:53,微博 weibo.com,42,5,12
HoGSB47gT,雷公：我要是说谎，就遭天打雷劈！ ——老罗叔  ,,无,无,无,2019-04-08 16:53,微博 weibo.com,38,1,10
HoG5TafEs,“造起来！”女娲看着地上的泥巴说道。——@再也不是橘猫  ,,无,无,无,2019-04-08 14:53,微博 weibo.com,74,13,9
HoFjbd13M,孕妇破了羊水医生全力救助又将其缝了上去 ——L无声嘶吼S  ,,无,无,无,2019-04-08 12:53,微博 weibo.com,26,0,8
HoEwsDqfQ,不接受捆绑！！！受害人对着绑匪大喊 ——@迪利嘟噜  ,,无,无,无,2019-04-08 10:53,微博 weibo.com,76,4,12
HoE87j4cv,本着敌人的敌人是朋友的原则，王警官与将要自杀的恐怖分子结为兄弟——Everest之巅  ,,无,无,无,2019-04-08 09:53,微博 weibo.com,71,3,10
HoDlpnDMB,华佗给关羽刮骨取毒箭：二爷你看这么长一家伙当时你被射的时候爽不 ——方D面  ,,无,无,无,2019-04-08 07:53,微博 weibo.com,40,5,14
HozOdnmIS,"》相似投稿两篇800斤的小胖车祸后变成了多肉植物人——丧病可啪的黑衣本院植物人越来越胖,原因竟是院长喜欢多肉植物——py狗老汉  ",,无,无,无,2019-04-07 22:53,微博 weibo.com,54,1,5
Hoz1w4b0c,在人生的十字路口闯红灯 ——老罗叔  ,,无,无,无,2019-04-07 20:53,微博 weibo.com,72,11,5
HoyDa8z3I,为了顺利通关植物大战僵尸，我把自己ID改成了林正英 ——曳舞夜魂  ,,无,无,无,2019-04-07 19:53,微博 weibo.com,66,1,11
HoxQs9ZhH,"孙厨师做菜不小心火太大被烧伤了，记者问他有什么感想，他回答道:""无他，唯手熟尔。""——狂魔CDd  ",,无,无,无,2019-04-07 17:53,微博 weibo.com,193,12,14
Hoxs6dv7R,皇后在豌豆公主二十层鹅绒被下埋了颗地雷。 ——公孙闬  ,,无,无,无,2019-04-07 16:53,微博 weibo.com,82,13,16
Hox3Kgug6,校花的苏菲弹力贴身高手 ——老罗叔  ,,无,无,无,2019-04-07 15:53,微博 weibo.com,67,4,8
HowFoigmN,为什么我穿了衣服却没有加属性？——快要到未来  ,,无,无,无,2019-04-07 14:53,微博 weibo.com,77,8,27
HovSG2UkB,“那我进去了哦。”犯人对狱警说道。——@Prestina_楼川  ,,无,无,无,2019-04-07 12:53,微博 weibo.com,128,8,23
Hov5YpEEf,警方戴上眼镜后   发现案情越来越清晰了 ——@迪利嘟噜  ,,无,无,无,2019-04-07 10:53,微博 weibo.com,156,11,14
HoujgaSn3,城管死后到奈何桥掀翻孟婆的摊子——旺星人擦么么哒  ,,无,无,无,2019-04-07 08:53,微博 weibo.com,102,9,14
HoqDXBCdB,“接下来我给大家煮一个刀削面。”说完我就拿起砍刀砍向了自己的脸。——吢丕的小树  ,,无,无,无,2019-04-06 23:33,微博 weibo.com,67,3,24
HopRfDVMr,小明偷摘罗汉果，被罗汉暴打了一顿。——￡褪色◆楓葉  ,,无,无,无,2019-04-06 21:33,微博 weibo.com,56,5,12
HopsU0Om9,孟婆因涉嫌提供造成脑损伤的食品被吊销营业执照——女装夏尔酱  ,,无,无,无,2019-04-06 20:33,微博 weibo.com,87,5,11
HooGcnv3a,拳击场上一声哨响裁判与两名选手扭打作一团 ——主治医师林待育  ,,无,无,无,2019-04-06 18:33,微博 weibo.com,48,2,6
HonTu9ERl,郁闷，鸡鸡太短玩不了抖阴 ——謎情威士忌  ,,无,无,无,2019-04-06 16:33,微博 weibo.com,37,17,27
Hon6MdfVH,冲锋衣和卫衣打架，谁能赢谁？ ——Everest之巅  ,,无,无,无,2019-04-06 14:33,微博 weibo.com,50,2,20
Homk3DYNy,歌星怒骂狗仔队 遭爱狗人士暗杀——PLBI213  ,,无,无,无,2019-04-06 12:33,微博 weibo.com,79,2,9
HolVIjpVs,网吧搞促销被查封：未成年人半价！ ——贰铜  ,,无,无,无,2019-04-06 11:33,微博 weibo.com,61,0,6
HolxmlkE9,扫地干净的小明在学期末被评为“扫把星”。——@余杭是杀不死的  ,,无,无,无,2019-04-06 10:33,微博 weibo.com,124,7,16
HokKEsf3c,蒙古使者献上一条哈达，让皇上自尽！ ——老罗叔  ,,无,无,无,2019-04-06 08:33,微博 weibo.com,50,4,17
Hohdt3r1G,“不要再打啦！你们不要再打啦！要打去练舞室打！”广场舞大妈站在篮球场上说——阳光错过向日葵  ,,无,无,无,2019-04-05 23:33,微博 weibo.com,148,14,15
HogqL9jcU,小明由于太菜变成植物人——strauss44  ,,无,无,无,2019-04-05 21:33,微博 weibo.com,95,14,14
Hog2p95m2,生物老师为了让学生掌握光合作用 将学生打成植物人——Mr鬼貀  ,,无,无,无,2019-04-05 20:33,微博 weibo.com,104,11,7
